symbol,product_type,put_call,strike,maturity_date,price,main_id,multiplier,fx_eur_rate,net_position_trading,eur_net_position_trading,eur_net_position_clearing,break_in_eur
ABEV,OP,Put,21.82,12/17/2021,5.817230225,ABEVOPPut21.8212/17/2021,1,6.419999918,-1200,-7704.0,100152.0,107856.0
CIEL3,OP,Put,3.76,12/17/2021,1.72211504,CIEL3OPPut3.7612/17/2021,1,6.419999918,0,0.0,1284.0,1284.0
MRNA,OP,Call,380.0,12/17/2021,4.687579155,MRNAOPCall380.012/17/2021,100,0.883763066,200,176.75,160.84,-15.909999999999997
VALE3,OP,Call,81.47,1/21/2022,1.069221258,VALE3OPCall81.471/21/2022,1,6.419999918,-114600,-735731.99,-736373.99,-642.0
